Jiřík,1000,Itálie
Jiřík,2000,Austrálie
Jiřík,3000,Afrika
Jiřík,4000,Seina
Jiřík,5000,1. září 1939
Jiřík,6000,Dynamit
Jiřík,7000,Golfský proud
Jiřík,8000,drift
Jiřík,9000,Operace Overlord
Lenka,1000,50 km/h
Lenka,2000,HTML/CSS
Lenka,3000,Játra
Lenka,4000,Červené a bílé
Lenka,5000,Funkce volající sebe sama
Lenka,6000,Chromozom
Lenka,7000,Připravte se na odjezd. Brzo se objeví zelené světlo.
Lenka,8000,Integrated Development Environment
Lenka,9000,Homeostáza
Vašek,1000,Duke Nukem 3D
Vašek,2000,Luffy D. Monkey
Vašek,3000,Ridley Scott
Vašek,4000,Poklad ukrytý na ostrově Rafte
Vašek,5000,Doom
Vašek,6000,Xenomorph
Vašek,7000,Sigourney Weaver
Vašek,8000,Wing Commander
Vašek,9000,Laboon
Dan,1000,Robert Downey Jr.
Dan,2000,Metru Nui
Dan,3000,Kyuubi (Devítiocasá liška)
Dan,4000,Makuta
Dan,5000,Uru
Dan,6000,Získat všechny bijuu
Dan,7000,Iron Man 3
Dan,8000,7
Dan,9000,Artakha
Maty,1000,xxx
Maty,2000,Zničit nepřátelský Nexus
Maty,3000,Tráva/Jed
Maty,4000,Riot Games
Maty,5000,Elf
Maty,6000,Beedrill
Maty,7000,Ekko
Maty,8000,Zapdos
Maty,9000,A Destiny of Flame and Sorrow
Eliška,1000,Ten kdo ho plánoval
Eliška,2000,Amerika
Eliška,3000,K rozdělení majetku po smrti
Eliška,4000,18
Eliška,5000,15
Eliška,6000,1990/91
Eliška,7000,Snow falling
Eliška,8000,Bez dětí
Eliška,9000,152
Axinel,1000,Alan Rickman
Axinel,2000,Obsidiánu
Axinel,3000,Jack O'Neill
Axinel,4000,Kreativní režim
Axinel,5000,Hipogryf
Axinel,6000,Mimozemská rasa
Axinel,7000,James
Axinel,8000,15
Axinel,9000,Prometheus
